KE: , 64 , PE: , -250 , total: , -186 , delta E: , -0 , t: , 2
KE: , 374.703 , PE: , -560.703 , total: , -186 , delta E: , 1.6014e-13 , t: , 400
KE: , 470.455 , PE: , -656.455 , total: , -186 , delta E: , 1.6014e-13 , t: , 402
KE: , 537.217 , PE: , -723.217 , total: , -186 , delta E: , 1.65641e-13 , t: , 404
KE: , 512.082 , PE: , -698.082 , total: , -186 , delta E: , 1.67474e-13 , t: , 406
KE: , 422.01 , PE: , -608.01 , total: , -186 , delta E: , 1.65946e-13 , t: , 408
KE: , 331.363 , PE: , -517.363 , total: , -186 , delta E: , 1.67169e-13 , t: , 410
KE: , 261.106 , PE: , -447.106 , total: , -186 , delta E: , 1.67169e-13 , t: , 412
KE: , 209.549 , PE: , -395.549 , total: , -186 , delta E: , 1.6778e-13 , t: , 414
KE: , 171.599 , PE: , -357.599 , total: , -186 , delta E: , 1.67169e-13 , t: , 416
KE: , 143.212 , PE: , -329.212 , total: , -186 , delta E: , 1.67169e-13 , t: , 418
KE: , 121.642 , PE: , -307.642 , total: , -186 , delta E: , 1.67474e-13 , t: , 420
KE: , 105.076 , PE: , -291.076 , total: , -186 , delta E: , 1.67474e-13 , t: , 422
KE: , 92.3066 , PE: , -278.307 , total: , -186 , delta E: , 1.67474e-13 , t: , 424
KE: , 82.5185 , PE: , -268.519 , total: , -186 , delta E: , 1.6778e-13 , t: , 426
KE: , 75.1548 , PE: , -261.155 , total: , -186 , delta E: , 1.67933e-13 , t: , 428
KE: , 69.8353 , PE: , -255.835 , total: , -186 , delta E: , 1.67933e-13 , t: , 430
KE: , 66.3058 , PE: , -252.306 , total: , -186 , delta E: , 1.68085e-13 , t: , 432
KE: , 64.4068 , PE: , -250.407 , total: , -186 , delta E: , 1.68085e-13 , t: , 434
KE: , 64.0557 , PE: , -250.056 , total: , -186 , delta E: , 1.68238e-13 , t: , 436
KE: , 65.2374 , PE: , -251.237 , total: , -186 , delta E: , 1.68391e-13 , t: , 438
KE: , 68.0029 , PE: , -254.003 , total: , -186 , delta E: , 1.68391e-13 , t: , 440
KE: , 72.4746 , PE: , -258.475 , total: , -186 , delta E: , 1.68391e-13 , t: , 442
KE: , 78.8604 , PE: , -264.86 , total: , -186 , delta E: , 1.68238e-13 , t: , 444
KE: , 87.4775 , PE: , -273.478 , total: , -186 , delta E: , 1.68238e-13 , t: , 446
KE: , 98.7938 , PE: , -284.794 , total: , -186 , delta E: , 1.68391e-13 , t: , 448
KE: , 113.493 , PE: , -299.493 , total: , -186 , delta E: , 1.68085e-13 , t: , 450
KE: , 132.581 , PE: , -318.581 , total: , -186 , delta E: , 1.68544e-13 , t: , 452
KE: , 157.56 , PE: , -343.56 , total: , -186 , delta E: , 1.68238e-13 , t: , 454
KE: , 190.7 , PE: , -376.7 , total: , -186 , delta E: , 1.68238e-13 , t: , 456
KE: , 235.411 , PE: , -421.411 , total: , -186 , delta E: , 1.67933e-13 , t: , 458
KE: , 296.454 , PE: , -482.454 , total: , -186 , delta E: , 1.6778e-13 , t: , 460
KE: , 378.244 , PE: , -564.244 , total: , -186 , delta E: , 1.68085e-13 , t: , 462
KE: , 474.031 , PE: , -660.031 , total: , -186 , delta E: , 1.67169e-13 , t: , 464
KE: , 538.168 , PE: , -724.168 , total: , -186 , delta E: , 1.7053e-13 , t: , 466
KE: , 509.312 , PE: , -695.312 , total: , -186 , delta E: , 1.69308e-13 , t: , 468
KE: , 418.25 , PE: , -604.25 , total: , -186 , delta E: , 1.6778e-13 , t: , 470
KE: , 328.251 , PE: , -514.251 , total: , -186 , delta E: , 1.6778e-13 , t: , 472
KE: , 258.801 , PE: , -444.801 , total: , -186 , delta E: , 1.68085e-13 , t: , 474
KE: , 207.861 , PE: , -393.861 , total: , -186 , delta E: , 1.67933e-13 , t: , 476
KE: , 170.347 , PE: , -356.347 , total: , -186 , delta E: , 1.68085e-13 , t: , 478
KE: , 142.266 , PE: , -328.266 , total: , -186 , delta E: , 1.68085e-13 , t: , 480
KE: , 120.919 , PE: , -306.919 , total: , -186 , delta E: , 1.67933e-13 , t: , 482
KE: , 104.519 , PE: , -290.519 , total: , -186 , delta E: , 1.6778e-13 , t: , 484
KE: , 91.8776 , PE: , -277.878 , total: , -186 , delta E: , 1.68085e-13 , t: , 486
KE: , 82.1921 , PE: , -268.192 , total: , -186 , delta E: , 1.68085e-13 , t: , 488
KE: , 74.9135 , PE: , -260.913 , total: , -186 , delta E: , 1.68085e-13 , t: , 490
KE: , 69.6671 , PE: , -255.667 , total: , -186 , delta E: , 1.68085e-13 , t: , 492
KE: , 66.2029 , PE: , -252.203 , total: , -186 , delta E: , 1.68697e-13 , t: , 494
KE: , 64.3648 , PE: , -250.365 , total: , -186 , delta E: , 1.68544e-13 , t: , 496
KE: , 64.0728 , PE: , -250.073 , total: , -186 , delta E: , 1.68391e-13 , t: , 498
KE: , 65.3142 , PE: , -251.314 , total: , -186 , delta E: , 1.68391e-13 , t: , 500
KE: , 68.1428 , PE: , -254.143 , total: , -186 , delta E: , 1.68391e-13 , t: , 502
KE: , 72.684 , PE: , -258.684 , total: , -186 , delta E: , 1.68391e-13 , t: , 504
KE: , 79.1492 , PE: , -265.149 , total: , -186 , delta E: , 1.68391e-13 , t: , 506
KE: , 87.8608 , PE: , -273.861 , total: , -186 , delta E: , 1.68391e-13 , t: , 508
KE: , 99.2932 , PE: , -285.293 , total: , -186 , delta E: , 1.68697e-13 , t: , 510
KE: , 114.14 , PE: , -300.14 , total: , -186 , delta E: , 1.68391e-13 , t: , 512
KE: , 133.424 , PE: , -319.424 , total: , -186 , delta E: , 1.68238e-13 , t: , 514
KE: , 158.671 , PE: , -344.671 , total: , -186 , delta E: , 1.68544e-13 , t: , 516
KE: , 192.185 , PE: , -378.185 , total: , -186 , delta E: , 1.68238e-13 , t: , 518
KE: , 237.43 , PE: , -423.43 , total: , -186 , delta E: , 1.68391e-13 , t: , 520
KE: , 299.21 , PE: , -485.21 , total: , -186 , delta E: , 1.68391e-13 , t: , 522
KE: , 381.81 , PE: , -567.81 , total: , -186 , delta E: , 1.68391e-13 , t: , 524
KE: , 477.565 , PE: , -663.565 , total: , -186 , delta E: , 1.67474e-13 , t: , 526
KE: , 538.963 , PE: , -724.963 , total: , -186 , delta E: , 1.69308e-13 , t: , 528
KE: , 506.447 , PE: , -692.447 , total: , -186 , delta E: , 1.64112e-13 , t: , 530
KE: , 414.499 , PE: , -600.499 , total: , -186 , delta E: , 1.62279e-13 , t: , 532
KE: , 325.172 , PE: , -511.172 , total: , -186 , delta E: , 1.6289e-13 , t: , 534
KE: , 256.524 , PE: , -442.524 , total: , -186 , delta E: , 1.62279e-13 , t: , 536
KE: , 206.194 , PE: , -392.194 , total: , -186 , delta E: , 1.62279e-13 , t: , 538
KE: , 169.109 , PE: , -355.109 , total: , -186 , delta E: , 1.62432e-13 , t: , 540
KE: , 141.331 , PE: , -327.331 , total: , -186 , delta E: , 1.62584e-13 , t: , 542
KE: , 120.203 , PE: , -306.203 , total: , -186 , delta E: , 1.62584e-13 , t: , 544
KE: , 103.967 , PE: , -289.967 , total: , -186 , delta E: , 1.62737e-13 , t: , 546
KE: , 91.453 , PE: , -277.453 , total: , -186 , delta E: , 1.63196e-13 , t: , 548
KE: , 81.8693 , PE: , -267.869 , total: , -186 , delta E: , 1.6289e-13 , t: , 550
KE: , 74.6751 , PE: , -260.675 , total: , -186 , delta E: , 1.62737e-13 , t: , 552
KE: , 69.5015 , PE: , -255.502 , total: , -186 , delta E: , 1.6289e-13 , t: , 554
KE: , 66.1025 , PE: , -252.103 , total: , -186 , delta E: , 1.6289e-13 , t: , 556
KE: , 64.3251 , PE: , -250.325 , total: , -186 , delta E: , 1.63196e-13 , t: , 558
KE: , 64.0921 , PE: , -250.092 , total: , -186 , delta E: , 1.63196e-13 , t: , 560
KE: , 65.3934 , PE: , -251.393 , total: , -186 , delta E: , 1.6289e-13 , t: , 562
KE: , 68.2853 , PE: , -254.285 , total: , -186 , delta E: , 1.63196e-13 , t: , 564
KE: , 72.8962 , PE: , -258.896 , total: , -186 , delta E: , 1.6289e-13 , t: , 566
KE: , 79.4414 , PE: , -265.441 , total: , -186 , delta E: , 1.63196e-13 , t: , 568
KE: , 88.248 , PE: , -274.248 , total: , -186 , delta E: , 1.6289e-13 , t: , 570
KE: , 99.7977 , PE: , -285.798 , total: , -186 , delta E: , 1.6289e-13 , t: , 572
KE: , 114.795 , PE: , -300.795 , total: , -186 , delta E: , 1.63196e-13 , t: , 574
